t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.230018,1020.095215,56.400002,0, -0.047856,-9.987642,-0.248854, 0.033026,-0.005859,0.006126, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.181643,0.248854, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.240018,1020.095215,56.400002,0, 0.023928,-10.001998,-0.210568, 0.029563,-0.000799,0.009322, 0.000000,1.000000,0.000000,0.000000, 0.023928,0.195998,0.210568, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.250018,1020.051758,56.397919,0, -0.043071,-9.992427,-0.181855, 0.030629,0.001598,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.186427,0.181855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.260019,1020.051758,56.397919,0, 0.014357,-9.987642,-0.177069, 0.030362,-0.000266,0.013850, 0.000000,1.000000,0.000000,0.000000, 0.014357,0.181643,0.177069, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.270021,1020.051758,56.397919,0, 0.004786,-10.006784,-0.167498, 0.025302,0.000266,0.008789, 0.000000,1.000000,0.000000,0.000000, 0.004786,0.200785,0.167498, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.280022,1020.051758,56.397919,0, -0.009571,-10.011570,-0.162712, 0.030895,0.002131,0.011985, 0.000000,1.000000,0.000000,0.000000, -0.009571,0.205570,0.162712, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.290024,1020.078613,56.395832,0, -0.028714,-9.992427,-0.114855, 0.027965,0.003196,0.009588, 0.000000,1.000000,0.000000,0.000000, -0.028714,0.186427,0.114855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.300026,1020.078613,56.395832,0, -0.028714,-9.987642,-0.148355, 0.027699,-0.003196,0.011186, 0.000000,1.000000,0.000000,0.000000, -0.028714,0.181643,0.148355, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.310026,1020.078613,56.395832,0, 0.019143,-9.997213,-0.148355, 0.026900,-0.001598,0.014649, 0.000000,1.000000,0.000000,0.000000, 0.019143,0.191214,0.148355, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.320028,1020.078613,56.395832,0, -0.019143,-9.992427,-0.081356, 0.026101,-0.000533,0.013317, 0.000000,1.000000,0.000000,0.000000, -0.019143,0.186427,0.081356, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
