10000,1020.101562,56.391667,0.0335,-10.035498,-0.07657,1.64808,-0.44254,0.9156,-86,-158,424,-0.961052,-11.53262,0.480526,0,2400,81,0
10001,1020.101562,56.391667,-0.057428,-10.001998,-0.071785,1.46496,-0.18312,0.71722,-84,-166,428,-0.480526,-11.052095,0.961052,0,2393,89,0
10000,1020.101562,56.391667,0.009571,-9.997213,-0.167498,1.20554,-0.5341,0.67144,-83,-163,427,-0.961052,-12.013146,1.441578,0,2399,73,0
10001,1020.078125,56.4,0.043071,-10.030712,-0.181855,1.51074,0.01526,0.94612,-83,-163,427,-0.961052,-12.013146,0.961052,0,2394,90,0
10001,1020.078125,56.4,-0.071785,-9.973285,-0.210568,1.49548,-0.0763,1.00716,-84,-164,426,-0.480526,-11.53262,0.961052,0,2386,107,0
10000,1020.078125,56.4,-0.043071,-9.987642,-0.157926,1.51074,-0.35098,1.08346,-84,-164,426,-0.961052,-11.052095,0.480526,0,2394,89,0
10000,1020.078125,56.4,-0.129212,-9.982856,-0.172283,1.51074,0.18312,0.74774,-86,-164,424,-0.961052,-11.052095,0.961052,0,2394,88,0
10002,1020.11792,56.39375,-0.177069,-10.006784,-0.100499,1.6786,0.32046,0.94612,-86,-164,424,-0.961052,-11.53262,1.441578,0,2392,88,0
10002,1020.11792,56.39375,-0.167498,-9.992427,-0.023928,1.28184,-0.01526,0.59514,-78,-160,428,0,-12.013146,0.961052,0,2394,89,0
10002,1020.11792,56.39375,-0.138784,-10.01157,-0.177069,1.3734,-0.24416,0.93086,-83,-163,437,-1.441578,-11.53262,1.441578,0,2392,88,0
10000,1020.11792,56.39375,-0.153141,-9.987642,-0.11007,1.49548,0.2289,0.47306,-84,-166,426,-0.961052,-11.53262,1.441578,0,2392,88,0
10002,1020.11792,56.39375,-0.234497,-9.992427,-0.052642,1.64808,0,0.57988,-84,-166,426,-0.480526,-11.53262,0.961052,0,2394,89,0
10000,1020.131592,56.397917,-0.114855,-10.01157,-0.172283,1.43444,-0.16786,0.32046,-86,-158,432,-0.961052,-12.013146,1.441578,0,2394,89,0
10002,1020.131592,56.397917,-0.119641,-10.006784,-0.153141,1.08346,0,0.33572,-87,-169,429,-1.441578,-12.013146,1.441578,0,2392,88,0
10000,1020.131592,56.397917,-0.129212,-10.01157,-0.177069,1.34288,0.25942,0.32046,-87,-169,429,-0.480526,-10.571569,0.961052,0,2383,89,0
10002,1020.131592,56.397917,-0.062213,-9.992427,-0.239282,1.20554,-0.06104,0.4578,-80,-160,434,-0.480526,-10.571569,0.480526,0,2392,87,0
10000,1020.112305,56.402083,-0.047856,-10.001998,-0.248854,1.51074,-0.0763,0.64092,-82,-164,428,-0.480526,-11.052095,0.961052,0,2399,89,0
